Wavelength (nm);x(λ);y(λ);z(λ);CIE D65 S(λ)
598;1.064150636;0.660540696;1.17653E-05;89.91726566
599;1.064350746;0.647343387;1.01677E-05;89.83711757
600;1.0622;0.631;0.0008;90.01
601;1.061761958;0.620784172;7.57411E-06;89.68816873
602;1.05895931;0.607452577;6.52867E-06;89.61643993
603;1.055147469;0.594105867;5.62268E-06;89.54460096
604;1.050327873;0.580758125;4.83823E-06;89.47122966
605;1.0456;0.5668;0.0006;89.8
606;1.037688235;0.554113288;3.57314E-06;89.31444632
607;1.029888172;0.540841677;3.06669E-06;89.2284803
608;1.021120281;0.527619959;2.62975E-06;89.1359024
609;1.011403014;0.514459405;2.25312E-06;89.0356657
610;1.0026;0.503;0.0003;89.6
611;0.989210499;0.488363856;1.64968E-06;88.80860754
612;0.976788214;0.475448403;1.40976E-06;88.68030042
613;0.963522242;0.462633222;1.2037E-06;88.54137892
614;0.949446394;0.449926655;1.02686E-06;88.39145139
615;0.9384;0.4412;0.0002;88.65
616;0.919013418;0.424870085;7.45386E-07;88.05775828
617;0.90273647;0.412534208;6.3424E-07;87.87396045
618;0.885809606;0.400335262;5.39201E-07;87.67909088
619;0.868278;0.388279218;4.58008E-07;87.47350543
620;0.8544;0.381;0.0002;87.7
621;0.831589184;0.364617895;3.29605E-07;87.03231199
622;0.812529524;0.353022834;2.79249E-07;86.79809623
623;0.793059729;0.341591178;2.36383E-07;86.55593137
624;0.773230694;0.330327377;1.99924E-07;86.30680095
625;0.7514;0.321;0.0001;85.49
